timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 10:00:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1173 MiB, 40960 MiB
2026/01/22 10:01:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 870 MiB, 40960 MiB
2026/01/22 10:02:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 979 MiB, 40960 MiB
2026/01/22 10:03:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1351 MiB, 40960 MiB
2026/01/22 10:04:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1040 MiB, 40960 MiB
2026/01/22 10:05:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 815 MiB, 40960 MiB
2026/01/22 10:06:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 968 MiB, 40960 MiB
2026/01/22 10:07:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 924 MiB, 40960 MiB
2026/01/22 10:08:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1049 MiB, 40960 MiB
2026/01/22 10:09:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 814 MiB, 40960 MiB
2026/01/22 10:10:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1170 MiB, 40960 MiB
2026/01/22 10:11:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1049 MiB, 40960 MiB
2026/01/22 10:12:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1079 MiB, 40960 MiB
2026/01/22 10:13:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1180 MiB, 40960 MiB
2026/01/22 10:14:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 837 MiB, 40960 MiB
2026/01/22 10:15:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 969 MiB, 40960 MiB
2026/01/22 10:16:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 1003 MiB, 40960 MiB
2026/01/22 10:17:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 859 MiB, 40960 MiB
2026/01/22 10:18:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1062 MiB, 40960 MiB
2026/01/22 10:19:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1077 MiB, 40960 MiB
2026/01/22 10:20:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 754 MiB, 40960 MiB
2026/01/22 10:21:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1077 MiB, 40960 MiB
2026/01/22 10:22:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1080 MiB, 40960 MiB
2026/01/22 10:23:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 639 MiB, 40960 MiB
2026/01/22 10:24:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 924 MiB, 40960 MiB
2026/01/22 10:25:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1068 MiB, 40960 MiB
2026/01/22 10:26:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1110 MiB, 40960 MiB
2026/01/22 10:27:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 1023 MiB, 40960 MiB
2026/01/22 10:28:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 879 MiB, 40960 MiB
2026/01/22 10:29:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 852 MiB, 40960 MiB
2026/01/22 10:30:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1089 MiB, 40960 MiB
2026/01/22 10:31:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 991 MiB, 40960 MiB
2026/01/22 10:32:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 813 MiB, 40960 MiB
2026/01/22 10:33:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 927 MiB, 40960 MiB
2026/01/22 10:34:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 3 %, 1167 MiB, 40960 MiB
2026/01/22 10:35:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1039 MiB, 40960 MiB
